name	Station	Depth	Eddy	Temperature(¡æ)	Salinity	Turbidity	DIN(¦Ìmol/L)	DRP(¦Ìmol/L)	Chl a (10^-2 ¦Ìg/L)	Synechococcus(10^3 cells/mL)	Picoeukaryote(10^3 cells/mL)	Prochlorococcus (10^5 cells/mL)	Bacteria(10^5 cells/mL)	Virus(10^6 particles/mL)	Total NP (cells/mL)	Total HNF (cells/mL)	Total NE (cells/mL)	POC (mg/m^3)
A6DD	A6	DCM	Eddy	25.8688	33.9552	1.9784	0.67	0.14	20.6800894	2.602732144	6.644105262	1.756844197	3.14275	1.191137	582.9779425	219.3382353	802.3161778	42.86318207
A7DD	A7	DCM	Eddy	23.6984	34.1558	0.0236	0.32	0.12	25.1290234	1.812028708	5.897329794	2.079440217	3.51075	1.842498	611.8382338	214	825.8382338	32.12418365
F2DD	F2	DCM	Eddy	24.6377	34.1006	1.1613	0.05	0.03	22.4811554	2.70706107	2.026177555	1.095288989	2.93175	1.921388	444.4485307	202	646.4485307	42.01878357
F3DD	F3	DCM	Eddy	27.2164	34.2233	0.024	0.04	0.03	30.5580124	6.440938407	1.076235233	1.767826189	3.26475	1.379172	681.1029395	421.360294	1102.463234	45.480896
FF2DD	FF2	DCM	Eddy	26.7634	34.3045	1.1226	0.63	0.09	19.0337689	3.591111439	4.33239591	2.172238051	3.641	1.576892	646.4705897	312.0000001	958.4705898	44.09230042
FF4DD	FF4	DCM	Eddy	24.9399	34.2472	1.1105	3.52	0.23	20.4135832	6.342100477	8.747156762	2.543649026	1.96675	0.88141	715.7352929	225.1102941	940.845587	43.50097656
H3DD	H3	DCM	Eddy	25.18	34.0419	1.9364	2.21	0.21	16.6031517	2.652151109	4.288467942	1.259085402	2.07125	1.15772	764.797799	375.1838234	1139.981622	45.25304031
B4D200	B4	200	Ref.	15.4046	34.5673	1.9053	16.81	1.18	NA	NA	NA	NA	1.19875	0.445002	34.63235294	167.3897059	202.0220588	25.60712244
B5D200	B5	200	Ref.	16.5541	34.6468	1.9468	10.73	0.78	NA	NA	NA	NA	0.744	0.649536	19.24019608	125.0612746	144.3014707	25.60712244
B6D200	B6	200	Ref.	15.1753	34.5737	1.9011	14.53	1.04	NA	NA	NA	NA	0.7555	0.290632	11.54411765	115.4411765	126.9852942	23.43497276
B7D200	B7	200	Ref.	16.6507	34.6004	1.9054	16.13	0.86	NA	NA	NA	NA	0.75775	1.463678	28.86029412	77.92279411	106.7830882	22.29696653
B8D200	B8	200	Ref.	16.3043	34.6035	1.8887	14.02	0.99	NA	NA	NA	NA	1.11175	0.631667	23.08823529	124.0992647	147.1875	20.90527915
C1D200	C1	200	Ref.	14.8986	34.5581	1.9539	18.25	1.02	NA	NA	NA	NA	0.8655	0.258618	25.97426471	118.3272059	144.3014706	25.06309129
C3D200	C3	200	Ref.	14.713	34.5516	1.9418	17.94	1.25	NA	NA	NA	NA	1.5415	0.80912	0	67.00000001	67.00000001	22.8363018
C5D200	C5	200	Ref.	14.5947	34.5475	1.9284	18.6	1.28	NA	NA	NA	NA	0.86775	0.852158	37.51838235	155.8455882	193.3639706	21.64853475
C7D200	C7	200	Ref.	15.9752	34.5833	1.9111	18.52	0.95	NA	NA	NA	NA	0.9235	0.048916	31.74632353	138.5294118	170.2757353	24.15805624
E4D200	E4	200	Ref.	16.7495	34.6181	1.9119	12.57	0.83	NA	NA	NA	NA	1.21475	0.572447	23.08823529	86.58088234	109.6691176	22.64340785
A4D200	A4	200	Eddy	16.4699	34.5862	1.9549	15.27	1.06	NA	NA	NA	NA	0.8735	0.160152	69.26470588	138.5294118	207.7941177	26.78932
