Sampling name,Station,Depth,PMNP (ind./mL),PMNP/NP (%),MCR (mL ind.-1 h-1),MGE (bact. mL-1 h-1),MTR (%),HNFg (ind./mL),HNFg/HNF (%),HCR (mL ind.-1 h-1),HGE (bact. mL-1 h-1),HTR (%)
E4DS,E4,S,31.57875,6.8387102,1.76E-05,335.5994925,1.684049516,63,25.38290624,2.32E-05,886.941516,4.450702291
E4DD,E4,DCM,79.398,18.0994435,3.33E-05,761.1915009,6.344914829,58,27.91224346,4.58E-05,761.1915009,6.344914829
E4D200,E4,200,3.609,0,4.17E-05,18.27432645,0.361048639,21.654,25.01014013,4.17E-05,109.6459587,2.166291837
E4D500,E4,500,0,0,0,0,0,15.35744681,44.34422009,5.54E-05,170.7500801,2.043381661
F2DS,F2,S,43.89324324,16.5313793,2.87E-05,508.6285946,3.018194157,78,22.15307508,2.58E-05,813.8057513,4.829110652
F2DD,F2,DCM,61.61707317,13.863714,4.37E-05,788.7900849,6.45722249,44.01219512,21.78821541,7.59E-05,979.1876915,8.015862402
F2D200,F2,200,3,0,5.09E-05,15.58500616,0.423601527,35,25.17985612,0.000111896,342.8701356,9.319233583
F2D500,F2,500,0,0,0,0,0,14.436,19.23856933,6.08E-05,107.0170733,2.106117063
F3DS,F3,S,72.18,17.3681529,1.83E-05,500.5004439,3.174840929,90,20.27027027,2.02E-05,688.1881103,4.365406277
F3DD,F3,DCM,126.315,18.5456548,2.04E-05,839.4115933,6.170726162,58,13.76494198,2.67E-05,503.646956,3.702435697
F3D200,F3,200,7.218,0,2.77E-05,25.67540985,0.48019469,25.263,13.2629531,3.56E-05,115.5393443,2.160876107
F3D500,F3,500,0,0,0,0,0,32.481,24.46644144,4.05E-05,129.6578317,3.159175595
FF2DS,FF2,S,57.744,13.8945223,2.62E-05,507.9874714,3.63172455,87,19.83238351,4.14E-05,1204.118451,8.608532266
FF2DD,FF2,DCM,104.661,16.1895996,3.01E-05,1148.172037,7.568285882,87,27.88461538,3.70E-05,1167.968107,7.69877357
FF2D200,FF2,200,0,0,0,0,0,32,19.79981801,6.69E-05,209.2166079,5.211415245
FF2D500,FF2,500,0,0,0,0,0,72,56.69947887,9.62E-05,424.130293,16.67342675
FF4DS,FF4,S,68.571,11.5338025,3.52E-05,1017.820467,5.789581374,105,27.98628124,2.17E-05,957.948675,5.449017764
FF4DD,FF4,DCM,119.097,16.639811,4.39E-05,1028.660155,8.489629886,61,27.09782786,3.60E-05,433.9660027,3.581562608
FF4D200,FF4,200,0,0,0,0,0,18,9.550318469,7.00E-05,107.6550763,2.195175728
FF4D500,FF4,500,0,0,0,0,0,14.436,10.00405605,8.35E-05,79.89846551,2.143726297
H3DS,H3,S,46.917,10.0615506,3.35E-05,302.9346613,2.030421524,14,6.645144401,2.05E-05,106.0271315,0.710647533
H3DD,H3,DCM,54.135,7.0783415,3.17E-05,355.6572576,4.121073836,43,11.46104851,3.28E-05,293.8038215,3.404365343
H3D200,H3,200,10.827,0,3.99E-05,38.1305676,1.036391418,18.045,11.16524113,5.58E-05,88.97132439,2.418246643
H3D500,H3,500,0,0,0,0,0,7.218,13.89452229,7.70E-05,45.74076739,1.33387414
