name	Station	Depth	Eddy	Group	CSCR  (mL grazer-1 h-1)	CSIR  (bacteria grazer-1 h-1)	CLGE (bacteria mL-1 h-1)	BTR (%)	Trophic type
C7DD	C7	DCM	Ref.	DCMRef.	2.39E-05	7.53	407.37	3.11	Active HNF
E4DD	E4	DCM	Ref.	DCMRef.	3.28E-05	10.53	293.8	3.4	Active HNF
A4DD	A4	DCM	Eddy	DCMEddy	2.81E-05	6.97	369.29	3.58	Active HNF
A5DD	A5	DCM	Eddy	DCMEddy	3.25E-05	10.81	659.13	4.79	Active HNF
A6DD	A6	DCM	Eddy	DCMEddy	3.85E-05	12.08	567.95	4.34	Active HNF
A7DD	A7	DCM	Eddy	DCMEddy	2.76E-05	9.77	419.93	2.87	Active HNF
F2DD	F2	DCM	Eddy	DCMEddy	7.59E-05	22.25	979.19	8.02	Active HNF
F3DD	F3	DCM	Eddy	DCMEddy	2.67E-05	8.68	503.65	3.7	Active HNF
FF2DD	FF2	DCM	Eddy	DCMEddy	3.70E-05	13.42	1167.97	7.7	Active HNF
FF4DD	FF4	DCM	Eddy	DCMEddy	3.60E-05	7.11	433.97	3.58	Active HNF
H3DD	H3	DCM	Eddy	DCMEddy	4.58E-05	13.12	761.19	6.34	Active HNF
B4D200	B4	200	Ref.	200Ref.	4.12E-05	4.94	124.78	2.5	Active HNF
B5D200	B5	200	Ref.	200Ref.	8.66E-05	6.65	93.04	3	Active HNF
B6D200	B6	200	Ref.	200Ref.	6.26E-05	4.73	119.5	2.98	Active HNF
B7D200	B7	200	Ref.	200Ref.	1.14E-04	8.65	218.54	6.92	Active HNF
B8D200	B8	200	Ref.	200Ref.	5.50E-05	6.11	110.3	2.38	Active HNF
C1D200	C1	200	Ref.	200Ref.	7.71E-05	6.74	168.51	3.89	Active HNF
C3D200	C3	200	Ref.	200Ref.	7.70E-05	11.87	128.51	2	Active HNF
C5D200	C5	200	Ref.	200Ref.	6.34E-05	5.5	99.21	2.74	Active HNF
C7D200	C7	200	Ref.	200Ref.	6.15E-05	5.68	157.61	4.1	Active HNF
E4D200	E4	200	Ref.	200Ref.	4.17E-05	5.06	109.65	2.17	Active HNF
A4D200	A4	200	Eddy	200Eddy	5.32E-05	4.65	102.3	2.81	Active HNF
A5D200	A5	200	Eddy	200Eddy	5.82E-05	4.45	191.55	6.05	Active HNF
A6D200	A6	200	Eddy	200Eddy	7.45E-05	6.1	91.72	2.69	Active HNF
A7D200	A7	200	Eddy	200Eddy	1.29E-04	11.08	276.99	7.8	Active HNF
F2D200	F2	200	Eddy	200Eddy	1.12E-04	9.8	342.87	9.32	Active HNF
F3D200	F3	200	Eddy	200Eddy	3.56E-05	4.57	115.54	2.16	Active HNF
FF2D200	FF2	200	Eddy	200Eddy	6.69E-05	6.54	209.22	5.21	Active HNF
FF4D200	FF4	200	Eddy	200Eddy	7.00E-05	5.98	107.66	2.2	Active HNF
H3D200	H3	200	Eddy	200Eddy	5.58E-05	4.93	88.97	2.42	Active HNF
B4D500	B4	500	Ref.	500Ref.	1.21E-04	9.15	66.03	2.09	Active HNF
B5D500	B5	500	Ref.	500Ref.	1.07E-04	5.37	38.78	1.85	Active HNF
B6D500	B6	500	Ref.	500Ref.	1.22E-04	14.34	103.53	3.95	Active HNF
B7D500	B7	500	Ref.	500Ref.	7.59E-05	4.62	53.18	2.1	Active HNF
B8D500	B8	500	Ref.	500Ref.	5.19E-05	13.16	47.49	0.29	Active HNF
C1D500	C1	500	Ref.	500Ref.	4.86E-05	5.05	36.46	1.01	Active HNF
C3D500	C3	500	Ref.	500Ref.	8.42E-05	6.07	109.56	3.65	Active HNF
C5D500	C5	500	Ref.	500Ref.	9.95E-05	6.86	148.46	5.17	Active HNF
E4D500	E4	500	Ref.	500Ref.	5.54E-05	11.12	170.75	2.04	Active HNF
A4D500	A4	500	Eddy	500Eddy	6.45E-05	5.63	121.83	3.35	Active HNF
A5D500	A5	500	Eddy	500Eddy	6.64E-05	5.33	173.27	5.18	Active HNF
A6D500	A6	500	Eddy	500Eddy	1.46E-04	9.5	171.52	6.32	Active HNF
A7D500	A7	500	Eddy	500Eddy	9.49E-05	11.11	600.06	12.34	Active HNF
F2D500	F2	500	Eddy	500Eddy	6.08E-05	7.41	107.02	2.11	Active HNF
F3D500	F3	500	Eddy	500Eddy	4.05E-05	3.99	129.66	3.16	Active HNF
FF2D500	FF2	500	Eddy	500Eddy	9.62E-05	5.89	424.13	16.67	Active HNF
FF4D500	FF4	500	Eddy	500Eddy	8.35E-05	5.53	79.9	2.14	Active HNF
H3D500	H3	500	Eddy	500Eddy	7.70E-05	6.34	45.74	1.33	Active HNF
