name	Station	Depth	Eddy	Abundance (cells/mL)	Proportion (%)	Trophic type
A6D200	A6	200	Eddy	15.04	20.04	Active HNF
A7D200	A7	200	Eddy	25	33.32	Active HNF
F2D200	F2	200	Eddy	35	25.18	Active HNF
F3D200	F3	200	Eddy	25.26	13.26	Active HNF
FF2D200	FF2	200	Eddy	32	19.8	Active HNF
FF4D200	FF4	200	Eddy	18	9.55	Active HNF
H3D200	H3	200	Eddy	18.05	11.17	Active HNF
B4D500	B4	500	Ref.	7.22	5.95	Active HNF
B5D500	B5	500	Ref.	7.22	9.62	Active HNF
B6D500	B6	500	Ref.	7.22	13.16	Active HNF
B7D500	B7	500	Ref.	11.52	21.29	Active HNF
B8D500	B8	500	Ref.	3.61	6.58	Active HNF
C1D500	C1	500	Ref.	7.22	6.82	Active HNF
C3D500	C3	500	Ref.	18.05	14.89	Active HNF
C5D500	C5	500	Ref.	21.65	17.86	Active HNF
E4D500	E4	500	Ref.	15.36	44.34	Active HNF
A4D500	A4	500	Eddy	21.65	34.1	Active HNF
A5D500	A5	500	Eddy	32.48	62.53	Active HNF
A6D500	A6	500	Eddy	18.05	14.89	Active HNF
A7D500	A7	500	Eddy	54	58.47	Active HNF
F2D500	F2	500	Eddy	14.44	19.24	Active HNF
F3D500	F3	500	Eddy	32.48	24.47	Active HNF
FF2D500	FF2	500	Eddy	72	56.7	Active HNF
FF4D500	FF4	500	Eddy	14.44	10	Active HNF
H3D500	H3	500	Eddy	7.22	13.89	Active HNF
